title,link,root cause,bug-triggering pattern
Type promotion semantics not handled properly for `__torch_dispatch__`,https://github.com/pytorch/pytorch/issues/74400,Unfaithful Program Tracing,Non-Tensor Construct
NVFuser produces incorrect output for broadcasted dropout,https://github.com/pytorch/pytorch/issues/82784,Incorrect Kernel Code Generation,Optimization-Triggering Sequence
[inductor] Fix nan handling for aten.sign,https://github.com/pytorch/pytorch/pull/88937,Incorrect Kernel Code Generation,Boundary-Value Input
[inductor] generate nan in the cpp backend,https://github.com/pytorch/pytorch/pull/89289,Incorrect Kernel Code Generation,Boundary-Value Input
Prims Suggest Memory Format Divergence From Eager,https://github.com/pytorch/pytorch/issues/89539,Incorrect Layout Propagation,Parameterized Operator
[decomp] Fix native_batch_norm_backward dtype of dweight and dbias,https://github.com/pytorch/pytorch/pull/89740,Incorrect Operand Type-Promotion,Parameterized Operator
workaround for indexing formulas with negative terms,https://github.com/pytorch/pytorch/pull/89933,Faulty Symbolic-Variable Resolving,No minimal reproducer
dynamo/torchxla integration handle dropout incorrectly for training,https://github.com/pytorch/pytorch/issues/90097,Unfaithful Program Tracing,Non-Tensor Construct
Assert there are no outstanding side effects before calling cond,https://github.com/pytorch/pytorch/pull/90208,Unfaithful Program Tracing,Non-Tensor Construct
`unsqueeze` and `expand` metas produce wrong strides,https://github.com/pytorch/pytorch/issues/90260,Incorrect Layout Propagation,Parameterized Operator
dynamo.optimizations.training.aot_autograd does not functionalize,https://github.com/pytorch/pytorch/issues/90759,Broken Aliasing and Mutation Semantics,Aliased Mutation
*_scatter ops should preserve input stride/storage_offset,https://github.com/pytorch/pytorch/pull/91029,Broken Aliasing and Mutation Semantics,Aliased Mutation
torch.compile loud error on functorch transforms,https://github.com/pytorch/pytorch/issues/91470,Unfaithful Program Tracing,Non-Tensor Construct
inductor: fix .to(memort_format) issue which doesn't generate right stride,https://github.com/pytorch/pytorch/pull/91948,Incorrect Layout Propagation,Parameterized Operator
inductor: make as_strided support  non-contiguous input and always fix it's input layout using eager stride,https://github.com/pytorch/pytorch/pull/92063,Incorrect Layout Propagation,Parameterized Operator
[inductor] Respect dtype argument in ops.constant,https://github.com/pytorch/pytorch/pull/92093,Incorrect Operand Type-Promotion,Parameterized Operator
inductor: fix inplace op's wrong lowering issue when preop is NopKernel,https://github.com/pytorch/pytorch/pull/92247,Broken Aliasing and Mutation Semantics,Aliased Mutation
Fix model accuracy issue caused by vectorized transpose,https://github.com/pytorch/pytorch/pull/92299,Incorrect Kernel Code Generation,No minimal reproducer
[inductor] Dtype wrong for arange with floating point step,https://github.com/pytorch/pytorch/issues/92676,Incorrect Operand Type-Promotion,Parameterized Operator
`dstack` + `reciprocal` produce wrong result in compile mode,https://github.com/pytorch/pytorch/issues/93078,Broken Aliasing and Mutation Semantics,Aliased Mutation
`torch.compile` produce wrong result in `interpolate` when `mode=bilinear`,https://github.com/pytorch/pytorch/issues/93262,Incorrect Operator Decomposition,Parameterized Operator
`stack` + inplace operator produce wrong results in `torch.compile`,https://github.com/pytorch/pytorch/issues/93283,Broken Aliasing and Mutation Semantics,Aliased Mutation
`pad` + `gt` produce wrong results in compile mode,https://github.com/pytorch/pytorch/issues/93351,Incorrect Kernel Code Generation,Optimization-Triggering Sequence
AOTautograd returns wrong result for in_place update on input which is view tensor,https://github.com/pytorch/pytorch/issues/93363,Broken Aliasing and Mutation Semantics,Aliased Mutation
[pt2] compiled function with cat and mul gives wrong results,https://github.com/pytorch/pytorch/issues/93365,Broken Aliasing and Mutation Semantics,Aliased Mutation
[pt2] `torch.where` gives wrong results with `torch.compile`,https://github.com/pytorch/pytorch/issues/93374,Incorrect Kernel Code Generation,Boundary-Value Input
fp32 training failures in timm_models after enabling optimizer,https://github.com/pytorch/pytorch/issues/93490,Unfaithful Program Tracing,No minimal reproducer
Inductor accuracy failure from PegasusForCausalLM (maybe bmm related),https://github.com/pytorch/pytorch/issues/93595,External Dependency and Toolchain Misuse,Optimization-Triggering Sequence
Problems with clamp/clamp_min/clamp_max/minimum/maximum,https://github.com/pytorch/pytorch/issues/93784,Incorrect Kernel Code Generation,Boundary-Value Input
[pt2] `torch.compile` produces wrong results for `masked_fill`,https://github.com/pytorch/pytorch/issues/93823,Incorrect Kernel Code Generation,Parameterized Operator
