title,link,root cause,bug-triggering pattern
[dynamo][inline inbuilt nn modules]`torch.func.functional_call` doesn't work with compiled models,https://github.com/pytorch/pytorch/issues/97909,Unfaithful Program Tracing,Non-Tensor Construct
different behaviors in cumsum between torch.compile mode and eager mode,https://github.com/pytorch/pytorch/issues/117623,Incorrect Operand Type-Promotion,Parameterized Operator
Inductor: Codegen for sympy Trunc is incorrect,https://github.com/pytorch/pytorch/issues/126537,Faulty Symbolic-Variable Resolving,Non-Tensor Construct
`torch.nn.functional.one_hot` has inconsistent execution behavior under torch.compile,https://github.com/pytorch/pytorch/issues/144211,Incorrect Operator Decomposition,Parameterized Operator
[dynamo] Save/restore system random state more carefully,https://github.com/pytorch/pytorch/issues/145329,Unfaithful Program Tracing,Non-Tensor Construct
aot_eager produces wrong output with all_gather_tensor_autograd,https://github.com/pytorch/pytorch/issues/148701,Unfaithful Program Tracing,Non-Tensor Construct
RMS norm causes NaNs when used with torch.compile + float8 with rowwise scales,https://github.com/pytorch/pytorch/issues/150859,Incorrect Operator Decomposition,No minimal reproducer
[dynamo] patching nn.Module forward is silently incorrect,https://github.com/pytorch/pytorch/issues/167400,Broken Aliasing and Mutation Semantics,Aliased Mutation
stride mismatch between eager and compile for _c10d_functional.all_reduce,https://github.com/pytorch/pytorch/issues/167430,Incorrect Layout Propagation,Layout-Constraint Chain
index_reduce returns NaN during backward when compiled and using 'amax'/'amin',https://github.com/pytorch/pytorch/issues/168358,Incorrect Operator Decomposition,Parameterized Operator
AArch64 unit test failure test_transpose_copy on Neoverse-V1,https://github.com/pytorch/pytorch/issues/169958,External Dependency and Toolchain Misuse,Environment-Dependent
[Inconsistency][Inductor] binary_cross_entropy_with_logits returns different dtypes between Eager and Inductor,https://github.com/pytorch/pytorch/issues/171282,Incorrect Operand Type-Promotion,Mixed-dtype Operands
SDPA produces NaN with torch.compile mode=“max-autotune-no-cudagraphs” when batch_size × seq_len == 65536 (64k),https://github.com/pytorch/pytorch/issues/171389,Incorrect Kernel Code Generation,Optimization-Triggering Sequence
incorrect fusion and re-ordering of an index_add,https://github.com/pytorch/pytorch/issues/171493,Unsound Graph Optimization,Optimization-Triggering Sequence
